Nr.,Titlu Produs,Brand,Material,Preț Oficial (LEI),Cale Imagine Locală,URL Master Slab,URL Produs top-blat.ro
177,Negro Tebas – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/negro-tebas-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NEGRO-TEBAS-18-2-SILESTONE.avif,https://top-blat.ro/produs/negro-tebas-quartz-silestone/
178,Nero Assoluto – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/nero-assoluto-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/NERO-ASSOLUTO-2-LAMINAM-2.avif,https://top-blat.ro/produs/nero-assoluto-ceramica-laminam/
179,Nero Greco Natural – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.210,340 lei/mp",culori_quartz/images/nero-greco-natural-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/NERO-GRECO-NATURAL-2-LAMINAM-2.avif,https://top-blat.ro/produs/nero-greco-natural-ceramica-laminam/
180,Nero Marquina – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/nero-marquina-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NERO-MARQUINA-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/nero-marquina-ceramica-atlas-plan/
181,Niebla – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/niebla-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NIEBLA-2-SILESTONE.avif,https://top-blat.ro/produs/niebla-quartz-silestone/
182,Noble Arco – Quartz Technistone,Technistone,Cuarț Compozit,"2.625,174 lei/mp",culori_quartz/images/noble-arco-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-ARCO-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-arco-quartz-technistone/
183,Noble Areti Bianco – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/noble-areti-bianco-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-ARETI-BIANCO-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-areti-bianco-quartz-technistone/
184,Noble Athos Brown – Quartz Technistone,Technistone,Cuarț Compozit,"2.605,998 lei/mp",culori_quartz/images/noble-athos-brown-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-ATHOS-BROWN-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-athos-brown-quartz-technistone/
185,Noble Botticino – Quartz Technistone,Technistone,Cuarț Compozit,"2.050,302 lei/mp",culori_quartz/images/noble-botticino-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-BOTTICINO-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-botticino-quartz-technistone/
186,Noble Carrara – Quartz Technistone,Technistone,Cuarț Compozit,"2.625,174 lei/mp",culori_quartz/images/noble-carrara-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-CARRARA-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-carrara-quartz-technistone/
187,Noble Concrete Grey – Quartz Technistone,Technistone,Cuarț Compozit,"2.376,090 lei/mp",culori_quartz/images/noble-concrete-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-CONCRETE-GREY-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-concrete-grey-quartz-technistone/
188,Noble Imperial Grey – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/noble-imperial-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-IMPERIAL-GREY-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-imperial-grey-quartz-technistone/
189,Noble Ivory White – Quartz Technistone,Technistone,Cuarț Compozit,"2.376,090 lei/mp",culori_quartz/images/noble-ivory-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-IVORY-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-ivory-white-quartz-technistone/
190,Noble Linea – Quartz Technistone,Technistone,Cuarț Compozit,"2.625,174 lei/mp",culori_quartz/images/noble-linea-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-LINEA-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-linea-quartz-technistone/
191,Noble Olympos Mist – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/noble-olympos-mist-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-OLYMPOS-MIST-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-olympos-mist-quartz-technistone/
192,Noble Pietra Grey – Quartz Technistone,Technistone,Cuarț Compozit,"2.376,090 lei/mp",culori_quartz/images/noble-pietra-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-PIETRA-GREY-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-pietra-grey-quartz-technistone/
193,Noble Portland Grey – Quartz Technistone,Technistone,Cuarț Compozit,"2.261,085 lei/mp",culori_quartz/images/noble-portland-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-PORTLAND-GREY-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-portland-grey-quartz-technistone/
194,Noble Pro Cloud – Quartz Technistone,Technistone,Cuarț Compozit,"2.261,085 lei/mp",culori_quartz/images/noble-pro-cloud-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-PRO-CLOUD-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-pro-cloud-quartz-technistone/
195,Noble Pro Frost – Quartz Technistone,Technistone,Cuarț Compozit,"2.261,085 lei/mp",culori_quartz/images/noble-pro-frost-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-PRO-FROST-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-pro-frost-quartz-technistone/
196,Noble Pro Storm – Quartz Technistone,Technistone,Cuarț Compozit,"2.261,085 lei/mp",culori_quartz/images/noble-pro-storm-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-PRO-STORM-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-pro-storm-quartz-technistone/
197,Noble Quartzite – Quartz Technistone,Technistone,Cuarț Compozit,"2.625,174 lei/mp",culori_quartz/images/noble-quartzite-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-QUARTZITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-quartzite-quartz-technistone/
198,Noble Supreme White – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/noble-supreme-white-quartz-technistone.webp,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-SUPREME-WHITE-2-TECHNISTONE.webp,https://top-blat.ro/produs/noble-supreme-white-quartz-technistone/
199,Noble Supreme White – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/noble-supreme-white-quartz-technistone-2.webp,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-SUPREME-WHITE-2-TECHNISTONE-1.webp,https://top-blat.ro/produs/noble-supreme-white-quartz-technistone-2/
200,Noble Troya – Quartz Technistone,Technistone,Cuarț Compozit,"1.590,435 lei/mp",culori_quartz/images/noble-troya-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-TROYA-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-troya-quartz-technistone/
201,Noble Villa – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/noble-villa-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-VILLA-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-villa-quartz-technistone/
202,Noble Vintage – Quartz Technistone,Technistone,Cuarț Compozit,"2.261,085 lei/mp",culori_quartz/images/noble-vintage-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOBLE-VINTAGE-3-TECHNISTONE.avif,https://top-blat.ro/produs/noble-vintage-quartz-technistone/
203,Noce Canaletto – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/noce-canaletto-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NOCE-CANALETTO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/noce-canaletto-ceramica-atlas-plan/
204,Noir Desir Lucidato – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.412,606 lei/mp",culori_quartz/images/noir-desir-lucidato-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOIR-DESIR-LUCIDATO-2-LAMINAM-3.avif,https://top-blat.ro/produs/noir-desir-lucidato-ceramica-laminam/
205,Noir Desir Natural – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.210,340 lei/mp",culori_quartz/images/noir-desir-natural-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOIR-DESIR-NATURAL-2-LAMINAM-2.avif,https://top-blat.ro/produs/noir-desir-natural-ceramica-laminam/
206,Noka – Quartz Silestone,Silestone,Cuarț Compozit,"3.847,899 lei/mp",culori_quartz/images/noka-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOKA-1-SILESTONE.avif,https://top-blat.ro/produs/noka-quartz-silestone/
207,Nolita – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/nolita-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/NOLITA-2-SILESTONE.avif,https://top-blat.ro/produs/nolita-quartz-silestone/
208,Nyra Ambrosia – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/nyra-ambrosia-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NYRA-AMBROSIA-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/nyra-ambrosia-ceramica-atlas-plan/
209,Nyra Hay – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/nyra-hay-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NYRA-HAY-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/nyra-hay-ceramica-atlas-plan/
210,Nyra Mist – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/nyra-mist-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/NYRA-MIST-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/nyra-mist-ceramica-atlas-plan/
211,Ocean Jasper F – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/ocean-jasper-f-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/OCEAN-JASPER-F-2-SILESTONE.avif,https://top-blat.ro/produs/ocean-jasper-f-quartz-silestone/
212,Ocean Storm – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/ocean-storm-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/OCEAN-STORM-2-SILESTONE.avif,https://top-blat.ro/produs/ocean-storm-quartz-silestone/
213,Olympos – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/olympos-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/OLYMPOS-CIMSTONE.avif,https://top-blat.ro/produs/olympos-quartz-cimstone/
214,Onyx Ivory – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/onyx-ivory-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/ONYX-IVORY-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/onyx-ivory-ceramica-atlas-plan/
215,Onyx White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/onyx-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/ONYX-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/onyx-white-ceramica-atlas-plan/
216,Parisien Bleu – Quartz Silestone,Silestone,Cuarț Compozit,"9.309,387 lei/mp",culori_quartz/images/parisien-bleu-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/PARISIEN-BLEU-2-SILESTONE.avif,https://top-blat.ro/produs/parisien-bleu-quartz-silestone/
217,Pearl Alba – Quartz Technistone,Technistone,Cuarț Compozit,"2.721,003 lei/mp",culori_quartz/images/pearl-alba-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/PEARL-ALBA-3-TECHNISTONE.avif,https://top-blat.ro/produs/pearl-alba-quartz-technistone/
218,Pearl Delta – Quartz Technistone,Technistone,Cuarț Compozit,"2.970,087 lei/mp",culori_quartz/images/pearl-delta-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/PEARL-DELTA-3-TECHNISTONE.avif,https://top-blat.ro/produs/pearl-delta-quartz-technistone/
219,Perl Jeasmine – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/perl-jeasmine-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/PEARL-JASMINE-2-SILESTONE.avif,https://top-blat.ro/produs/perl-jeasmine-quartz-silestone/
220,Pietra – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/pietra-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/PIETRA-2-SILESTONE.avif,https://top-blat.ro/produs/pietra-quartz-silestone/
221,Pietra Di Savoia Perla Bocciadato – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.066,673 lei/mp",culori_quartz/images/pietra-di-savoia-perla-bocciadato-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/PIETRA-DI-SAVOIA-PERLA-BOCCIARDATA-2-LAMINAM-3.avif,https://top-blat.ro/produs/pietra-di-savoia-perla-bocciadato-ceramica-laminam/
222,Poblenou – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/poblenou-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/POBLENOU-2-SILESTONE.avif,https://top-blat.ro/produs/poblenou-quartz-silestone/
223,Posidonia Green – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/posidonia-green-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/POSIDONIA-GREEN-2-SILESTONE.avif,https://top-blat.ro/produs/posidonia-green-quartz-silestone/
224,Precious Brown – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/precious-brown-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/PRECIOUS-BROWN-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/precious-brown-ceramica-atlas-plan/
225,Regina – Quartz Coante,Coante,Cuarț Compozit,"1.946,721 lei/mp",culori_quartz/images/regina-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Regina-quartz-compozit.avif,https://top-blat.ro/produs/regina-quartz-coante/
226,Regulus – Quartz Coante,Coante,Cuarț Compozit,"1.946,721 lei/mp",culori_quartz/images/regulus-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/regulus-quartz-compozit.avif,https://top-blat.ro/produs/regulus-quartz-coante/
227,Roamano Ricco – Quartz Technistone,Technistone,Cuarț Compozit,"3.217,335 lei/mp",culori_quartz/images/roamano-ricco-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ROMANO-RICCO-3-TECHNISTONE.avif,https://top-blat.ro/produs/roamano-ricco-quartz-technistone/
228,Romantic Ash – Quartz Silestone,Silestone,Cuarț Compozit,"9.309,387 lei/mp",culori_quartz/images/romantic-ash-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ROMANTIC-ASH-2-SILESTONE.avif,https://top-blat.ro/produs/romantic-ash-quartz-silestone/
229,Rougui Lena – Quartz Silestone,Silestone,Cuarț Compozit,"3.847,899 lei/mp",culori_quartz/images/rougui-lena-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ROUGUI-LENA-2-SILESTONE.avif,https://top-blat.ro/produs/rougui-lena-quartz-silestone/
230,Royal Reef – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/royal-reef-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ROYAL-REEF-2-SILESTONE.avif,https://top-blat.ro/produs/royal-reef-quartz-silestone/
231,Sahara Noir Extra Bocciardato BM – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.210,340 lei/mp",culori_quartz/images/sahara-noir-extra-bocciardato-bm-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/SAHARA-NOIR-EXTRA-BOCCIARDATA-BM-2-LAMINAM-2.avif,https://top-blat.ro/produs/sahara-noir-extra-bocciardato-bm-ceramica-laminam/
232,Savana – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/savana-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SAVANA-CIMSTONE.avif,https://top-blat.ro/produs/savana-quartz-cimstone/
233,Seaport – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/seaport-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SEAPORT-2-SILESTONE.avif,https://top-blat.ro/produs/seaport-quartz-silestone/
234,Sienna Ridge – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/sienna-ridge-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SIENA-RIDGE-2-SILESTONE.avif,https://top-blat.ro/produs/sienna-ridge-quartz-silestone/
235,Silver Root – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/silver-root-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/SILVER-ROOT-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/silver-root-ceramica-atlas-plan/
236,Sineda – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/sineda-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SINEDA-CIMSTONE.avif,https://top-blat.ro/produs/sineda-quartz-cimstone/
237,Sky Stone – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/sky-stone-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/SKY-STONE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/sky-stone-ceramica-atlas-plan/
238,Smyrna – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/smyrna-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SMYRNA-CIMSTONE.avif,https://top-blat.ro/produs/smyrna-quartz-cimstone/
239,Snow Flake- Quartz Coante,Coante,Cuarț Compozit,"1.902,861 lei/mp",culori_quartz/images/snow-flake-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Snow-Flake-quartz-compozit.avif,https://top-blat.ro/produs/snow-flake-quartz-coante/
240,Snowy Ibiza – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/snowy-ibiza-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SNOWY-IBIZA-2-SILESTONE.avif,https://top-blat.ro/produs/snowy-ibiza-quartz-silestone/
241,Soapstone Dark – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/soapstone-dark-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/SOAPSTONE-DARK-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/soapstone-dark-ceramica-atlas-plan/
242,Soli – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/soli-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/SOLI-CIMSTONE.avif,https://top-blat.ro/produs/soli-quartz-cimstone/
243,Starlet – Quartz Coante,Coante,Cuarț Compozit,"1.946,721 lei/mp",culori_quartz/images/starlet-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2024/03/Starlet-quartz-compozit.avif,https://top-blat.ro/produs/starlet-quartz-coante/
244,Starlight Black – Quartz Technistone,Technistone,Cuarț Compozit,"2.222,784 lei/mp",culori_quartz/images/starlight-black-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/STARLINGHT-BLACK-3-TECHNISTONE.avif,https://top-blat.ro/produs/starlight-black-quartz-technistone/
245,Starlight White – Quartz Technistone,Technistone,Cuarț Compozit,"2.222,784 lei/mp",culori_quartz/images/starlight-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/STARLINGHT-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/starlight-white-quartz-technistone/
246,Statuarietto Natural BM – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.210,340 lei/mp",culori_quartz/images/statuarietto-natural-bm-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/STATUARIETTO-NATURAL-BM-2-LAMINAM-3.avif,https://top-blat.ro/produs/statuarietto-natural-bm-ceramica-laminam/
247,Statuario Exclusive – Quartz Coante,Coante,Cuarț Compozit,"2.857,683 lei/mp",culori_quartz/images/statuario-exclusive-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/STATUARIO-EXCLUSIVE-2-COANTE-2.avif,https://top-blat.ro/produs/statuario-exclusive-quartz-coante/
248,Statuario Supremo – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/statuario-supremo-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/STATUARIO-SUPREMO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/statuario-supremo-ceramica-atlas-plan/
249,Statuario Supremo 20 mm – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/statuario-supremo-20-mm-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/STATUARIO-SUPREMO-20-MM-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/statuario-supremo-20-mm-ceramica-atlas-plan/
250,Stelllar Blanco – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/stelllar-blanco-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/STELLAR-BLANCO13-2-SILESTONE.avif,https://top-blat.ro/produs/stelllar-blanco-quartz-silestone/
251,Storia Ultra – Quartz Coante,Coante,Cuarț Compozit,"2.972,637 lei/mp",culori_quartz/images/storia-ultra-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/STORIA-ULTRA-2-COANTE-2.avif,https://top-blat.ro/produs/storia-ultra-quartz-coante/
252,Taj Mahal – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/taj-mahal-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TAJ-MAHAL-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/taj-mahal-ceramica-atlas-plan/
253,Taj Mahal Noisette – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/taj-mahal-noisette-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TAJ-MAHAL-NOISETTE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/taj-mahal-noisette-ceramica-atlas-plan/
254,Taj Mahal White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/taj-mahal-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/TAJ-MAHAL-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/taj-mahal-white-ceramica-atlas-plan/
255,Talia Grey – Quartz Coante,Coante,Cuarț Compozit,"2.794,749 lei/mp",culori_quartz/images/talia-grey-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/TALIA-GREY-2-COANTE-1.avif,https://top-blat.ro/produs/talia-grey-quartz-coante/
256,Taurus Black – Quartz Technistone,Technistone,Cuarț Compozit,"1.724,565 lei/mp",culori_quartz/images/taurus-black-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TAURUS-BLACK-3-TECHNISTONE.avif,https://top-blat.ro/produs/taurus-black-quartz-technistone/
257,Taurus Terazzo Black – Quartz Technistone,Technistone,Cuarț Compozit,"1.494,606 lei/mp",culori_quartz/images/taurus-terazzo-black-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TAURUS-TERAZZO-BLACK-3-TECHNISTONE.avif,https://top-blat.ro/produs/taurus-terazzo-black-quartz-technistone/
258,Taurus Terazzo Dark – Quartz Technistone,Technistone,Cuarț Compozit,"1.724,565 lei/mp",culori_quartz/images/taurus-terazzo-dark-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TAURUS-TERAZZO-DARK-3-TECHNISTONE.avif,https://top-blat.ro/produs/taurus-terazzo-dark-quartz-technistone/
259,Taurus Terazzo Grey – Quartz Technistone,Technistone,Cuarț Compozit,"1.494,606 lei/mp",culori_quartz/images/taurus-terazzo-grey-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TAURUS-TERAZZO-GREY-3-TECHNISTONE.avif,https://top-blat.ro/produs/taurus-terazzo-grey-quartz-technistone/
260,Taurus Terazzo White – Quartz Technistone,Technistone,Cuarț Compozit,"1.724,565 lei/mp",culori_quartz/images/taurus-terazzo-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TAURUS-TERAZZO-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/taurus-terazzo-white-quartz-technistone/
261,Tenera – Quartz Coante,Coante,Cuarț Compozit,"2.972,688 lei/mp",culori_quartz/images/tenera-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/TENERA-2-COANTE-2.avif,https://top-blat.ro/produs/tenera-quartz-coante/
262,Terra – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/terra-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TERRA-CIMSTONE.avif,https://top-blat.ro/produs/terra-quartz-cimstone/
263,Thunder Ultra – Quartz Coante,Coante,Cuarț Compozit,"2.972,637 lei/mp",culori_quartz/images/thunder-ultra-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/THUNDER-ULTRA-2-COANTE-2.avif,https://top-blat.ro/produs/thunder-ultra-quartz-coante/
264,Tiber – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/tiber-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/TIBER-CIMSTONE.avif,https://top-blat.ro/produs/tiber-quartz-cimstone/
